"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 10- 09","42,512.00","42,070.32","42,562.01","41,993.35","267.41M","1.03%"
"2024- 10- 08","42,080.37","42,022.65","42,128.56","41,874.72","286.52M","0.30%"
"2024- 10- 07","41,954.24","42,289.51","42,293.64","41,831.74","307.24M","-0.94%"
"2024- 10- 04","42,352.75","42,248.26","42,361.38","41,972.11","296.55M","0.81%"
"2024- 10- 03","42,011.59","42,099.53","42,125.84","41,847.81","267.27M","-0.44%"
"2024- 10- 02","42,196.52","42,125.14","42,259.52","41,968.79","301.77M","0.09%"
"2024- 10- 01","42,156.97","42,262.97","42,322.36","41,945.63","380.24M","-0.41%"
"2024- 09- 30","42,330.15","42,289.75","42,347.66","41,929.07","354.43M","0.04%"
"2024- 09- 27","42,313.00","42,227.95","42,628.32","42,227.95","329.85M","0.33%"
"2024- 09- 26","42,175.11","42,113.42","42,224.15","42,036.28","361.21M","0.62%"
"2024- 09- 25","41,914.75","42,236.09","42,299.64","41,859.73","385.16M","-0.70%"
"2024- 09- 24","42,208.22","42,234.99","42,281.06","42,056.82","401.02M","0.20%"
"2024- 09- 23","42,124.65","42,060.40","42,190.05","42,012.22","455.20M","0.15%"
"2024- 09- 20","42,063.36","41,959.43","42,138.41","41,865.95","1.22B","0.09%"
"2024- 09- 19","42,025.19","41,972.56","42,160.91","41,832.09","436.23M","1.26%"
"2024- 09- 18","41,503.10","41,628.91","41,981.97","41,449.00","383.60M","-0.25%"
"2024- 09- 17","41,606.18","41,723.78","41,835.28","41,470.69","448.62M","-0.04%"
"2024- 09- 16","41,622.08","41,435.17","41,733.97","41,435.17","408.68M","0.55%"
"2024- 09- 13","41,393.78","41,153.70","41,533.84","41,128.70","276.81M","0.72%"
"2024- 09- 12","41,096.77","40,862.11","41,107.35","40,665.53","289.30M","0.58%"
"2024- 09- 11","40,861.71","40,638.76","40,903.68","39,993.07","356.05M","0.31%"
"2024- 09- 10","40,736.96","40,916.50","40,916.50","40,417.48","360.96M","-0.23%"
"2024- 09- 09","40,829.59","40,555.11","41,000.24","40,518.06","376.72M","1.20%"
"2024- 09- 06","40,345.41","40,756.81","41,009.39","40,297.33","370.44M","-1.01%"
"2024- 09- 05","40,755.75","41,056.33","41,084.78","40,519.08","331.26M","-0.54%"
"2024- 09- 04","40,974.97","40,872.06","41,172.59","40,840.89","359.39M","0.09%"
"2024- 09- 03","40,936.93","41,489.67","41,489.67","40,778.09","420.53M","-1.51%"
"2024- 08- 30","41,563.08","41,366.16","41,585.21","41,145.85","494.90M","0.55%"
"2024- 08- 29","41,335.05","41,345.50","41,577.97","41,086.81","309.83M","0.59%"
"2024- 08- 28","41,091.42","41,250.17","41,351.11","40,842.29","272.18M","-0.39%"
"2024- 08- 27","41,250.50","41,186.28","41,271.75","41,109.42","256.16M","0.02%"
"2024- 08- 26","41,240.52","41,200.84","41,420.05","41,140.23","249.31M","0.16%"
"2024- 08- 23","41,175.08","40,879.12","41,207.92","40,842.96","300.09M","1.14%"
"2024- 08- 22","40,712.78","40,932.23","41,026.64","40,584.47","310.48M","-0.43%"
"2024- 08- 21","40,890.49","40,881.03","40,974.40","40,738.43","281.46M","0.14%"
"2024- 08- 20","40,834.97","40,874.52","40,909.38","40,756.65","299.38M","-0.15%"
"2024- 08- 19","40,896.53","40,670.83","40,907.32","40,670.83","288.19M","0.58%"
"2024- 08- 16","40,659.76","40,528.86","40,726.03","40,453.58","323.22M","0.24%"
"2024- 08- 15","40,563.06","40,295.74","40,590.51","40,295.74","446.86M","1.39%"
"2024- 08- 14","40,008.39","39,800.59","40,068.75","39,737.20","317.80M","0.61%"
"2024- 08- 13","39,765.64","39,445.27","39,792.80","39,392.41","365.56M","1.04%"
"2024- 08- 12","39,357.01","39,556.01","39,587.06","39,251.72","312.38M","-0.36%"
"2024- 08- 09","39,497.54","39,408.06","39,628.66","39,230.43","316.32M","0.13%"
"2024- 08- 08","39,446.49","38,940.38","39,508.40","38,922.79","376.44M","1.76%"
"2024- 08- 07","38,763.45","39,230.09","39,477.96","38,731.51","428.25M","-0.60%"
"2024- 08- 06","38,997.66","38,736.22","39,449.53","38,638.30","475.42M","0.76%"
"2024- 08- 05","38,703.27","39,056.19","39,056.19","38,499.27","661.28M","-2.60%"
"2024- 08- 02","39,737.26","40,075.33","40,075.33","39,358.68","841.97M","-1.51%"
"2024- 08- 01","40,347.97","40,916.96","41,096.66","40,098.57","472.04M","-1.21%"
"2024- 07- 31","40,842.79","40,768.88","41,198.63","40,655.89","420.10M","0.24%"
"2024- 07- 30","40,743.33","40,622.13","40,866.25","40,529.10","358.45M","0.50%"
"2024- 07- 29","40,539.93","40,665.71","40,682.49","40,388.83","277.55M","-0.12%"
"2024- 07- 26","40,589.34","40,140.86","40,753.83","40,140.86","334.46M","1.64%"
"2024- 07- 25","39,935.07","39,828.63","40,438.82","39,817.50","382.49M","0.20%"
"2024- 07- 24","39,853.87","40,210.63","40,258.44","39,807.45","400.90M","-1.25%"
"2024- 07- 23","40,358.09","40,443.73","40,527.89","40,319.70","296.80M","-0.14%"
"2024- 07- 22","40,415.44","40,414.49","40,472.53","40,222.77","358.56M","0.32%"
"2024- 07- 19","40,287.53","40,592.35","40,626.16","40,203.27","354.44M","-0.93%"
"2024- 07- 18","40,665.02","41,156.56","41,376.00","40,597.50","398.28M","-1.29%"
"2024- 07- 17","41,198.08","40,862.57","41,221.98","40,849.71","438.86M","0.59%"
"2024- 07- 16","40,954.48","40,263.78","40,988.81","40,263.78","313.52M","1.85%"
"2024- 07- 15","40,211.72","40,138.40","40,351.10","40,136.10","322.33M","0.53%"
"2024- 07- 12","40,000.90","39,783.28","40,257.24","39,783.28","329.07M","0.62%"
"2024- 07- 11","39,753.75","39,695.18","39,875.60","39,623.12","363.85M","0.08%"
"2024- 07- 10","39,721.36","39,272.45","39,736.20","39,256.72","336.92M","1.09%"
"2024- 07- 09","39,291.97","39,357.37","39,492.28","39,146.60","365.56M","-0.13%"
"2024- 07- 08","39,344.79","39,391.98","39,654.96","39,278.43","364.05M","-0.08%"
"2024- 07- 05","39,375.87","39,313.40","39,399.62","39,168.70","331.49M","0.17%"
"2024- 07- 03","39,308.00","39,358.95","39,411.17","39,230.86","202.07M","-0.06%"
"2024- 07- 02","39,331.85","39,108.25","39,340.49","39,085.69","325.02M","0.41%"
"2024- 07- 01","39,169.52","39,186.20","39,438.36","39,037.94","353.38M","0.13%"
"2024- 06- 28","39,118.86","39,092.39","39,443.60","38,937.15","688.50M","-0.12%"
"2024- 06- 27","39,164.06","39,107.10","39,250.69","39,026.75","352.60M","0.09%"
"2024- 06- 26","39,127.80","39,063.15","39,183.74","38,908.99","340.84M","0.04%"
"2024- 06- 25","39,112.16","39,398.79","39,423.26","38,997.23","344.64M","-0.76%"
"2024- 06- 24","39,411.21","39,184.49","39,571.23","39,184.49","387.00M","0.67%"
"2024- 06- 21","39,150.33","39,208.51","39,257.18","39,061.67","838.54M","0.04%"
"2024- 06- 20","39,134.76","38,804.73","39,232.50","38,778.46","404.72M","0.77%"
"2024- 06- 18","38,834.86","38,779.12","38,936.93","38,727.67","327.60M","0.15%"
"2024- 06- 17","38,778.10","38,565.18","38,839.88","38,431.95","351.11M","0.49%"
"2024- 06- 14","38,589.16","38,528.39","38,595.24","38,305.85","275.11M","-0.15%"
"2024- 06- 13","38,647.10","38,677.12","38,712.21","38,407.70","343.99M","-0.17%"
"2024- 06- 12","38,712.21","38,950.65","39,120.26","38,621.45","477.29M","-0.09%"
"2024- 06- 11","38,747.42","38,795.71","38,795.71","38,446.24","388.66M","-0.31%"
"2024- 06- 10","38,868.04","38,784.90","38,877.86","38,665.45","336.86M","0.18%"
"2024- 06- 07","38,798.99","38,861.24","39,105.23","38,751.85","272.34M","-0.22%"
"2024- 06- 06","38,886.17","38,825.40","39,004.16","38,735.99","270.19M","0.20%"
"2024- 06- 05","38,807.33","38,774.82","38,844.32","38,548.77","315.04M","0.25%"
"2024- 06- 04","38,711.29","38,518.86","38,786.62","38,397.82","312.99M","0.36%"
"2024- 06- 03","38,571.03","38,709.99","38,735.61","38,247.22","320.21M","-0.30%"
"2024- 05- 31","38,686.32","38,140.26","38,719.43","38,092.27","624.93M","1.51%"
"2024- 05- 30","38,111.48","38,368.35","38,493.60","38,000.96","365.27M","-0.86%"
"2024- 05- 29","38,441.54","38,716.28","38,716.28","38,413.67","294.72M","-1.06%"
"2024- 05- 28","38,852.86","39,028.99","39,028.99","38,706.14","306.72M","-0.55%"
"2024- 05- 24","39,069.59","39,089.23","39,220.31","39,020.29","254.83M","0.01%"
"2024- 05- 23","39,065.26","39,694.95","39,694.95","39,025.51","338.76M","-1.53%"
"2024- 05- 22","39,671.04","39,863.33","39,890.91","39,559.09","260.94M","-0.51%"
"2024- 05- 21","39,872.99","39,804.40","39,905.80","39,778.73","318.22M","0.17%"
"2024- 05- 20","39,806.77","39,989.76","40,077.40","39,787.09","275.31M","-0.49%"
"2024- 05- 17","40,003.59","39,911.72","40,010.88","39,858.86","305.08M","0.34%"
"2024- 05- 16","39,869.38","39,912.34","40,051.05","39,864.68","404.94M","-0.10%"
"2024- 05- 15","39,908.00","39,615.10","39,935.04","39,615.10","424.32M","0.88%"
"2024- 05- 14","39,558.11","39,466.76","39,616.41","39,371.92","326.25M","0.32%"
"2024- 05- 13","39,431.51","39,591.28","39,647.39","39,403.05","325.23M","-0.21%"
"2024- 05- 10","39,512.84","39,466.52","39,579.88","39,406.26","291.49M","0.32%"
"2024- 05- 09","39,387.76","39,064.27","39,413.66","38,988.85","307.17M","0.85%"
"2024- 05- 08","39,056.39","38,818.90","39,094.74","38,814.99","292.35M","0.44%"
"2024- 05- 07","38,884.26","38,858.94","38,977.61","38,840.40","366.81M","0.08%"
"2024- 05- 06","38,852.27","38,762.43","38,886.47","38,689.38","319.43M","0.46%"
"2024- 05- 03","38,675.68","38,709.36","38,808.52","38,518.28","416.04M","1.18%"
"2024- 05- 02","38,225.66","38,075.65","38,295.29","37,895.66","384.74M","0.85%"
"2024- 05- 01","37,903.29","37,845.56","38,349.20","37,780.54","417.32M","0.23%"
"2024- 04- 30","37,815.92","38,337.40","38,337.40","37,810.12","460.10M","-1.49%"
"2024- 04- 29","38,386.09","38,282.16","38,406.20","38,215.47","345.68M","0.38%"
"2024- 04- 26","38,239.66","38,114.70","38,337.64","38,065.05","401.46M","0.40%"
"2024- 04- 25","38,085.80","38,052.09","38,157.22","37,754.38","417.16M","-0.98%"
"2024- 04- 24","38,460.92","38,552.79","38,552.79","38,310.55","342.89M","-0.11%"
"2024- 04- 23","38,503.69","38,356.07","38,561.50","38,297.72","329.42M","0.69%"
"2024- 04- 22","38,239.98","38,116.89","38,447.16","37,985.07","360.16M","0.67%"
"2024- 04- 19","37,986.40","37,801.98","38,102.57","37,781.61","426.21M","0.56%"
"2024- 04- 18","37,775.38","37,847.21","38,083.76","37,681.52","305.52M","0.06%"
"2024- 04- 17","37,753.31","37,949.67","38,036.70","37,611.56","318.71M","-0.12%"
"2024- 04- 16","37,798.97","37,992.22","37,992.22","37,713.70","341.96M","0.17%"
"2024- 04- 15","37,735.11","38,075.38","38,386.81","37,657.79","391.71M","-0.65%"
"2024- 04- 12","37,983.24","38,319.14","38,319.14","37,877.30","444.25M","-1.24%"
"2024- 04- 11","38,459.08","38,523.26","38,598.98","38,197.28","356.64M","-0.01%"
"2024- 04- 10","38,461.51","38,662.28","38,662.28","38,304.66","320.96M","-1.09%"
"2024- 04- 09","38,883.67","38,983.66","38,992.89","38,572.09","330.76M","-0.02%"
"2024- 04- 08","38,892.80","38,916.42","39,013.20","38,857.70","295.06M","-0.03%"
"2024- 04- 05","38,904.04","38,664.98","39,040.17","38,602.18","322.02M","0.80%"
"2024- 04- 04","38,596.98","39,343.60","39,421.35","38,559.42","359.29M","-1.35%"
"2024- 04- 03","39,127.14","39,139.59","39,305.76","39,017.13","372.22M","-0.11%"
"2024- 04- 02","39,170.24","39,256.27","39,256.27","39,051.70","325.61M","-1.00%"
"2024- 04- 01","39,566.85","39,807.93","39,815.00","39,491.22","279.11M","-0.60%"
"2024- 03- 28","39,807.37","39,763.74","39,868.59","39,717.25","367.24M","0.12%"
"2024- 03- 27","39,760.08","39,461.98","39,769.41","39,461.98","337.34M","1.22%"
"2024- 03- 26","39,282.33","39,338.32","39,439.44","39,277.19","312.20M","-0.08%"
"2024- 03- 25","39,313.64","39,410.54","39,430.17","39,296.03","326.97M","-0.41%"
"2024- 03- 22","39,475.90","39,774.06","39,824.76","39,469.53","337.23M","-0.77%"
"2024- 03- 21","39,781.37","39,661.03","39,889.05","39,589.23","408.99M","0.68%"
"2024- 03- 20","39,512.13","39,072.05","39,529.13","38,988.65","350.05M","1.03%"
"2024- 03- 19","39,110.76","38,819.61","39,122.71","38,761.28","314.35M","0.83%"
"2024- 03- 18","38,790.43","38,826.93","38,898.41","38,760.79","331.62M","0.20%"
"2024- 03- 15","38,714.77","38,809.65","38,928.13","38,618.20","783.32M","-0.49%"
"2024- 03- 14","38,905.66","39,122.39","39,160.25","38,704.36","378.50M","-0.35%"
"2024- 03- 13","39,043.32","39,054.58","39,201.94","38,937.92","333.20M","0.10%"
"2024- 03- 12","39,005.49","38,883.32","39,071.56","38,711.39","334.75M","0.61%"
"2024- 03- 11","38,769.66","38,667.21","38,794.76","38,483.25","303.96M","0.12%"
"2024- 03- 08","38,722.69","38,776.80","38,971.15","38,705.03","351.12M","-0.18%"
"2024- 03- 07","38,791.35","38,784.30","38,910.35","38,730.13","343.26M","0.34%"
"2024- 03- 06","38,661.05","38,721.15","38,858.13","38,570.80","355.52M","0.20%"
"2024- 03- 05","38,585.19","38,906.98","38,906.98","38,457.83","404.14M","-1.04%"
"2024- 03- 04","38,989.83","38,968.77","39,087.86","38,913.30","394.51M","-0.25%"
"2024- 03- 01","39,087.38","38,989.51","39,120.36","38,850.50","331.03M","0.23%"
"2024- 02- 29","38,996.39","39,013.75","39,074.13","38,809.28","521.77M","0.12%"
"2024- 02- 28","38,949.02","38,938.08","38,956.46","38,741.68","272.56M","-0.06%"
"2024- 02- 27","38,972.41","39,087.90","39,087.90","38,881.90","274.82M","-0.25%"
"2024- 02- 26","39,069.23","39,144.79","39,245.89","39,025.80","296.93M","-0.16%"
"2024- 02- 23","39,131.53","39,127.97","39,282.28","39,094.36","292.06M","0.16%"
"2024- 02- 22","39,069.11","38,845.19","39,149.61","38,802.07","330.54M","1.18%"
"2024- 02- 21","38,612.24","38,483.66","38,618.03","38,338.58","284.37M","0.13%"
"2024- 02- 20","38,563.80","38,576.26","38,663.09","38,460.20","340.37M","-0.17%"
"2024- 02- 16","38,627.99","38,751.71","38,825.03","38,583.24","282.22M","-0.37%"
"2024- 02- 15","38,773.12","38,397.94","38,781.89","38,397.94","310.71M","0.91%"
"2024- 02- 14","38,424.27","38,372.67","38,442.56","38,194.62","283.06M","0.40%"
"2024- 02- 13","38,272.75","38,699.17","38,699.17","38,039.86","322.66M","-1.35%"
"2024- 02- 12","38,797.38","38,656.76","38,927.08","38,628.92","276.83M","0.33%"
"2024- 02- 09","38,671.69","38,731.97","38,734.28","38,567.90","302.40M","-0.14%"
"2024- 02- 08","38,726.33","38,702.11","38,755.68","38,544.36","317.40M","0.13%"
"2024- 02- 07","38,677.36","38,613.89","38,748.11","38,571.01","305.19M","0.40%"
"2024- 02- 06","38,521.36","38,392.90","38,545.28","38,350.46","278.50M","0.37%"
"2024- 02- 05","38,380.12","38,546.77","38,633.88","38,220.40","324.32M","-0.71%"
"2024- 02- 02","38,654.42","38,448.10","38,783.62","38,336.57","384.22M","0.35%"
"2024- 02- 01","38,519.84","38,175.34","38,522.50","38,106.84","330.89M","0.97%"
"2024- 01- 31","38,150.30","38,426.78","38,588.86","38,139.66","456.22M","-0.82%"
"2024- 01- 30","38,467.31","38,298.23","38,497.39","38,257.80","332.93M","0.35%"
"2024- 01- 29","38,333.45","38,115.83","38,343.93","38,061.17","314.95M","0.59%"
"2024- 01- 26","38,109.43","38,006.68","38,215.31","37,997.77","388.69M","0.16%"
"2024- 01- 25","38,049.13","37,862.57","38,057.53","37,796.47","402.98M","0.64%"
"2024- 01- 24","37,806.39","37,975.37","38,064.22","37,795.71","339.42M","-0.26%"
"2024- 01- 23","37,905.45","37,959.79","37,980.73","37,804.99","337.32M","-0.25%"
"2024- 01- 22","38,001.81","37,919.55","38,109.20","37,911.61","342.50M","0.36%"
"2024- 01- 19","37,863.80","37,572.50","37,933.73","37,451.71","380.30M","1.05%"
"2024- 01- 18","37,468.61","37,300.81","37,522.29","37,122.95","340.63M","0.54%"
"2024- 01- 17","37,266.67","37,281.86","37,371.66","37,132.89","290.88M","-0.25%"
"2024- 01- 16","37,361.12","37,493.54","37,543.18","37,201.39","379.98M","-0.62%"
"2024- 01- 12","37,592.98","37,818.05","37,825.27","37,470.19","279.26M","-0.31%"
"2024- 01- 11","37,711.02","37,747.14","37,801.90","37,424.28","305.80M","0.04%"
"2024- 01- 10","37,695.73","37,552.91","37,740.77","37,524.40","279.54M","0.45%"
"2024- 01- 09","37,525.16","37,523.55","37,552.38","37,373.30","293.23M","-0.42%"
"2024- 01- 08","37,683.01","37,327.37","37,692.92","37,249.24","362.20M","0.58%"
"2024- 01- 05","37,466.11","37,455.46","37,623.62","37,323.82","299.49M","0.07%"
"2024- 01- 04","37,440.34","37,425.28","37,716.41","37,425.28","380.22M","0.03%"
"2024- 01- 03","37,430.19","37,629.23","37,629.23","37,401.85","329.14M","-0.76%"
"2024- 01- 02","37,715.04","37,566.22","37,790.08","37,495.91","350.29M","0.07%"
"2023- 12- 29","37,689.54","37,701.63","37,759.43","37,538.80","236.60M","-0.05%"
"2023- 12- 28","37,710.10","37,661.52","37,778.85","37,650.98","201.87M","0.14%"
"2023- 12- 27","37,656.52","37,518.62","37,683.70","37,488.60","248.25M","0.30%"
"2023- 12- 26","37,545.33","37,405.90","37,617.99","37,371.83","215.08M","0.43%"
"2023- 12- 22","37,385.97","37,349.27","37,534.52","37,268.88","254.55M","-0.05%"
"2023- 12- 21","37,404.35","37,225.32","37,418.76","37,127.05","258.30M","0.87%"
"2023- 12- 20","37,082.00","37,520.13","37,641.30","37,073.04","303.46M","-1.27%"
"2023- 12- 19","37,557.92","37,311.82","37,562.83","37,311.82","277.63M","0.68%"
"2023- 12- 18","37,306.02","37,330.14","37,393.45","37,284.85","296.07M","0.00%"
"2023- 12- 15","37,305.16","37,194.50","37,347.60","37,092.02","788.16M","0.15%"
"2023- 12- 14","37,248.35","37,115.63","37,287.50","37,051.52","458.10M","0.43%"
"2023- 12- 13","37,090.24","36,601.80","37,094.85","36,523.59","359.63M","1.40%"
"2023- 12- 12","36,577.94","36,442.10","36,596.11","36,373.22","292.77M","0.48%"
"2023- 12- 11","36,404.93","36,254.33","36,416.18","36,231.19","342.49M","0.43%"
"2023- 12- 08","36,247.87","36,084.82","36,296.20","36,061.64","295.19M","0.36%"
"2023- 12- 07","36,117.38","36,124.17","36,164.17","36,021.95","290.17M","0.17%"
"2023- 12- 06","36,054.43","36,183.73","36,292.58","36,024.25","283.24M","-0.19%"
"2023- 12- 05","36,124.56","36,135.65","36,164.68","36,010.85","311.22M","-0.22%"
"2023- 12- 04","36,204.44","36,089.38","36,238.18","36,029.69","330.58M","-0.11%"
"2023- 12- 01","36,245.50","35,914.45","36,264.85","35,914.45","321.84M","0.82%"
"2023- 11- 30","35,950.89","35,596.57","35,970.70","35,592.22","435.55M","1.47%"
"2023- 11- 29","35,430.42","35,436.80","35,579.13","35,405.89","299.34M","0.04%"
"2023- 11- 28","35,416.98","35,332.13","35,518.67","35,307.73","263.10M","0.24%"
"2023- 11- 27","35,333.47","35,376.44","35,410.37","35,280.57","258.35M","-0.16%"
"2023- 11- 24","35,390.15","35,299.90","35,399.44","35,299.90","117.04M","0.33%"
"2023- 11- 22","35,273.03","35,189.33","35,315.20","35,155.80","237.30M","0.53%"
"2023- 11- 21","35,088.29","35,104.84","35,118.04","35,038.44","271.12M","-0.18%"
"2023- 11- 20","35,151.04","34,932.49","35,227.48","34,907.98","339.64M","0.58%"
"2023- 11- 17","34,947.28","34,964.82","35,028.22","34,882.82","343.39M","0.01%"
"2023- 11- 16","34,945.47","34,868.03","35,022.46","34,818.03","436.84M","-0.13%"
"2023- 11- 15","34,991.21","34,906.72","35,051.10","34,868.48","347.80M","0.47%"
"2023- 11- 14","34,827.70","34,581.20","34,931.01","34,581.20","331.24M","1.43%"
"2023- 11- 13","34,337.87","34,259.25","34,405.84","34,205.81","248.50M","0.16%"
"2023- 11- 10","34,283.10","34,020.82","34,310.36","33,905.62","302.47M","1.15%"
"2023- 11- 09","33,891.94","34,163.71","34,167.54","33,859.77","332.64M","-0.65%"
"2023- 11- 08","34,112.27","34,185.92","34,252.75","33,996.20","280.33M","-0.12%"
"2023- 11- 07","34,152.60","34,075.65","34,206.98","34,026.72","285.18M","0.17%"
"2023- 11- 06","34,095.86","34,092.61","34,167.26","33,989.72","267.35M","0.10%"
"2023- 11- 03","34,061.32","33,988.83","34,163.63","33,946.60","311.00M","0.66%"
"2023- 11- 02","33,839.08","33,457.82","33,852.96","33,450.03","311.13M","1.70%"
"2023- 11- 01","33,274.58","33,081.87","33,337.15","33,010.85","307.57M","0.67%"
"2023- 10- 31","33,052.87","33,029.11","33,070.28","32,787.12","310.02M","0.38%"
"2023- 10- 30","32,928.96","32,537.54","33,002.97","32,537.54","300.24M","1.58%"
"2023- 10- 27","32,417.59","32,782.40","32,787.56","32,327.20","376.98M","-1.12%"
"2023- 10- 26","32,784.30","33,017.17","33,105.03","32,743.99","379.88M","-0.76%"
"2023- 10- 25","33,035.93","33,203.53","33,267.91","32,989.72","355.69M","-0.32%"
"2023- 10- 24","33,141.38","33,089.64","33,272.19","32,988.43","359.23M","0.62%"
"2023- 10- 23","32,936.41","32,993.02","33,234.85","32,892.19","345.44M","-0.58%"
"2023- 10- 20","33,127.28","33,365.27","33,425.77","33,118.12","330.15M","-0.86%"
"2023- 10- 19","33,414.17","33,669.52","33,852.39","33,368.58","307.06M","-0.75%"
"2023- 10- 18","33,665.08","33,960.25","33,991.51","33,598.64","286.70M","-0.98%"
"2023- 10- 17","33,997.65","33,869.84","34,147.63","33,854.70","281.01M","0.04%"
"2023- 10- 16","33,984.54","33,832.42","34,088.98","33,832.42","272.99M","0.93%"
"2023- 10- 13","33,670.29","33,733.34","33,957.72","33,551.58","306.34M","0.12%"
