word(SoyNLP),score(SoyNLP),word(TF-IDF),score(TF-IDF),word(KeyBERT),score(KeyBERT)
연기_설경구,710.0,설경구_연기,682,설경구_연기,682.0
연기_진짜,198.0,설경구_김남길,397,설경구_김남길,397.0
연기_김남길,181.0,설경구_연기는,328,설경구_연기는,328.0
연기_설경구의,174.0,설경구_연기가,322,설경구_연기가,322.0
연기_배우들,173.0,설경구_역시,279,설경구_역시,279.0
연기_배우들의,133.0,설경구_연기력,125,설경구_연기력,125.0
연기_좋았어요,117.0,설경구_배우의,88,설경구_배우의,88.0
연기_최고,109.0,설경구_배우,80,설경구_배우,80.0
연기_짱,108.0,설경구_김남길의,69,설경구_김남길의,69.0
연기_가,107.0,설경구_연기에,68,설경구_연기에,68.0
연기_설경구씨,97.0,설경구_믿고보는,66,설경구_믿고보는,66.0
연기_설현,95.0,설경구_배우님,60,설경구_배우님,60.0
연기_대박,89.0,설경구_배우님의,53,설경구_배우님의,53.0
연기_설경구님,82.0,설경구_의,47,설경구_의,47.0
연기_굿,78.0,설경구_연기력이,47,설경구_연기력이,47.0
연기_연출,71.0,설경구_진짜,41,설경구_진짜,41.0
연기_는,71.0,설경구_연기력은,41,설경구_연기력은,41.0
연기_좋았습니다,70.0,설경구_연기만,35,설경구_연기만,35.0
연기_도,70.0,설경구_연기도,29,설경구_연기도,29.0
연기_배우,66.0,설경구_특히,27,설경구_특히,27.0
연기_역시,64.0,설경구_재밌었어요,26,설경구_재밌었어요,26.0
연기_배우님,62.0,설경구_가,26,설경구_가,26.0
연기_를,60.0,설경구_설현,24,설경구_설현,24.0
연기_김남길의,59.0,설경구_연기짱,23,설경구_연기짱,23.0
연기_설현도,51.0,설경구_보는,23,설경구_보는,23.0
연기_잘하네요,51.0,설경구_역쉬,22,설경구_역쉬,22.0
연기_넘,49.0,설경구_좋았어요,22,설경구_좋았어요,22.0
연기_배우의,48.0,설경구_봤어요,19,설경구_봤어요,19.0
연기_스토리,48.0,설경구_아저씨,19,설경구_아저씨,19.0
연기_다들,48.0,설경구_재밌어요,19,설경구_재밌어요,19.0
연기_좋아요,47.0,설경구_짱,18,설경구_짱,18.0
연기_좋은,43.0,설경구_연기력에,18,설경구_연기력에,18.0
연기_잘하고,42.0,설경구_연기를,17,설경구_연기를,17.0
연기_다,40.0,설경구_명불허전,17,설경구_명불허전,17.0
연기_좋네요,40.0,설경구_는,16,설경구_는,16.0
연기_무어의,39.0,설경구_연기의,15,설경구_연기의,15.0
연기_잘함,37.0,설경구_김남일,13,설경구_김남일,13.0
연기_최고의,37.0,설경구_믿고,13,설경구_믿고,13.0
연기_홉킨스의,35.0,설경구_배우가,12,설경구_배우가,12.0
연기_잘해요,33.0,설경구_오랜만에,12,설경구_오랜만에,12.0
연기_잘해서,30.0,설경구_씨의,11,설경구_씨의,11.0
연기_생각보다,29.0,설경구_간만에,10,설경구_간만에,10.0
연기_좋고,28.0,설경구_를,10,설경구_를,10.0
연기_배우분들,28.0,설경구_대박,9,설경구_대박,9.0
연기_덕분에,27.0,설경구_아저씨의,9,설경구_아저씨의,9.0
연기_최고입니다,27.0,설경구_김남길은,9,설경구_김남길은,9.0
연기_에,26.0,설경구_씨,9,설경구_씨,9.0
연기_잘하는,26.0,설경구_배우는,9,설경구_배우는,9.0
연기_잘한다,26.0,설경구_최고,9,설경구_최고,9.0
연기_설현의,26.0,설경구_하드캐리,8,설경구_하드캐리,8.0
연기_좋았고,25.0,설경구_다시,8,설경구_다시,8.0
연기_서현진,24.0,설경구_연기대박,8,설경구_연기대박,8.0
연기_소름,23.0,설경구_입니다,8,설경구_입니다,8.0
연기_좋았다,22.0,설경구_연기력으로,8,설경구_연기력으로,8.0
연기_완전,22.0,설경구_에,8,설경구_에,8.0
연기_력,21.0,설경구_미친,8,설경구_미친,8.0
연기_무어,21.0,설경구_봤습니다,8,설경구_봤습니다,8.0
연기_훌륭한,21.0,설경구_연기최고,7,설경구_연기최고,7.0
연기_설경구님의,21.0,설경구_배우님이,7,설경구_배우님이,7.0
연기_잘하시네요,21.0,설경구_영화는,7,설경구_영화는,7.0
연기_홉킨스,20.0,설경구_재미있었어요,7,설경구_재미있었어요,7.0
연기_소름돋는,20.0,설경구_연기력만,7,설경구_연기력만,7.0
연기_미친,19.0,설경구_님,7,설경구_님,7.0
연기_짱입니다,18.0,설경구_봤는데,7,설경구_봤는데,7.0
연기_력이,18.0,설경구_연기력짱,6,설경구_연기력짱,6.0
연기_굿굿,17.0,설경구_배우님은,6,설경구_배우님은,6.0
연기_와,17.0,설경구_좋았고,6,설경구_좋았고,6.0
연기_좋았음,16.0,설경구_연기야,6,설경구_연기야,6.0
연기_보는,16.0,설경구_반전,6,설경구_반전,6.0
연기_최고에요,15.0,설경구_봤다,6,설경구_봤다,6.0
연기_굳,15.0,설경구_그냥,6,설경구_그냥,6.0
연기_배우님들,15.0,설경구_눈,6,설경구_눈,6.0
연기_명품,15.0,설경구_만드는,6,설경구_만드는,6.0
연기_하네요,15.0,설경구_스토리,6,설경구_스토리,6.0
연기_배우님의,15.0,설경구_연기잘함,6,설경구_연기잘함,6.0
연기_력에,14.0,설경구_연기하나는,6,설경구_연기하나는,6.0
연기_멋진,14.0,설경구_굿,5,설경구_굿,5.0
연기_좋다,14.0,설경구_김남길씨,5,설경구_김남길씨,5.0
연기_빛나는,13.0,설경구_표정,5,설경구_표정,5.0
연기_설경구배우님,13.0,설경구_김남길이,5,설경구_김남길이,5.0
연기_짱이네요,13.0,설경구_라는,5,설경구_라는,5.0
연기_잘하세요,13.0,설경구_좋았습니다,5,설경구_좋았습니다,5.0
연기_치매,13.0,설경구_김남길과,5,설경구_김남길과,5.0
연기_많이,13.0,설경구_마지막,5,설경구_마지막,5.0
연기_인생,12.0,설경구_연기와,5,설경구_연기와,5.0
연기_실감나는,12.0,설경구_있네요,5,설경구_있네요,5.0
연기_완벽한,12.0,설경구_돌아온,5,설경구_돌아온,5.0
연기_설경구씨의,12.0,설경구_봤네요,5,설경구_봤네요,5.0
연기_눈빛,12.0,설경구_연기만으로도,5,설경구_연기만으로도,5.0
연기_설경구는,12.0,설경구_있고,5,설경구_있고,5.0
연기_하는,12.0,설경구_그치만,5,설경구_그치만,5.0
연기_김남길씨,11.0,설경구_김남길도,5,설경구_김남길도,5.0
연기_표정,11.0,설경구_모르겠고,5,설경구_모르겠고,5.0
연기_하나는,11.0,설경구_솔직히,5,설경구_솔직히,5.0
연기_있는,11.0,설경구_김날길,5,설경구_김날길,5.0
연기_이렇게,11.0,설경구_연기만큼은,5,설경구_연기만큼은,5.0
연기_최고네요,11.0,설경구_인생연기,5,설경구_인생연기,5.0
연기_쩐다,11.0,설경구_연기빼고는,4,설경구_연기빼고는,4.0
연기_신들린,11.0,설경구_연기로는,4,설경구_연기로는,4.0
연기_대박입니다,11.0,설경구_연기때문에,4,설경구_연기때문에,4.0
배우_설경구,85.0,연기_설경구,710,연기가_배우들의,560.0
배우_연기,59.0,연기_진짜,198,연기가_설경구의,375.0
배우_연기가,54.0,연기_김남길,181,연기가_설경구,322.0
배우_믿고보는,43.0,연기_설경구의,174,연기가_좋았어요,288.0
배우_서현진,31.0,연기_배우들,173,연기가_배우들,281.0
배우_의,30.0,연기_배우들의,133,연기가_좋았습니다,160.0
배우_설경구의,30.0,연기_좋았어요,117,연기가_배우의,157.0
배우_연기는,25.0,연기_최고,109,연기가_좋았다,101.0
배우_김남길,23.0,연기_짱,108,연기가_진짜,89.0
배우_는,19.0,연기_가,107,연기가_설경구씨,80.0
배우_가,19.0,연기_설경구씨,97,연기가_김남길의,80.0
배우_보는,17.0,연기_설현,95,연기가_좋았고,69.0
배우_좋은,14.0,연기_대박,89,연기가_아주,69.0
배우_연기력,13.0,연기_설경구님,82,연기가_무어의,67.0
배우_연기도,13.0,연기_굿,78,연기가_돋보이는,67.0
배우_김혜자,12.0,연기_연출,71,연기가_좋아요,64.0
배우_최고의,12.0,연기_는,71,연기가_김남길,55.0
배우_연기에,12.0,연기_좋았습니다,70,연기가_배우,54.0
배우_연기력이,11.0,연기_도,70,연기가_다,53.0
배우_님,10.0,연기_배우,66,연기가_배우분들,49.0
배우_하윤경,10.0,연기_역시,64,연기가_설경구님,47.0
배우_들의,10.0,연기_배우님,62,연기가_좋네요,47.0
배우_설경구님,9.0,연기_를,60,연기가_좋아서,41.0
배우_한지민,9.0,연기_김남길의,59,연기가_영화를,40.0
배우_역시,8.0,연기_설현도,51,연기가_홉킨스의,38.0
배우_님의,7.0,연기_잘하네요,51,연기가_설현의,38.0
배우_오민애,7.0,연기_넘,49,연기가_설경구님의,37.0
배우_안소니,7.0,연기_배우의,48,연기가_좋다,36.0
배우_를,7.0,연기_스토리,48,연기가_배우님의,35.0
배우_명,7.0,연기_다들,48,연기가_역시,34.0
배우_진짜,7.0,연기_좋아요,47,연기가_설경구씨의,34.0
배우_안성기,7.0,연기_좋은,43,연기가_배우분들의,28.0
배우_다,6.0,연기_잘하고,42,연기가_돋보였던,28.0
배우_들,6.0,연기_다,40,연기가_설현,27.0
배우_이정은,6.0,연기_좋네요,40,연기가_배우님,27.0
배우_주예림,6.0,연기_무어의,39,연기가_좋았음,27.0
배우_잘하는,6.0,연기_잘함,37,연기가_돋보인,25.0
배우_설경구라는,6.0,연기_최고의,37,연기가_넘,25.0
배우_대,6.0,연기_홉킨스의,35,연기가_매우,25.0
배우_설경구는,5.0,연기_잘해요,33,연기가_대박,24.0
배우_스토리,5.0,연기_잘해서,30,연기가_압권,24.0
배우_와,5.0,연기_생각보다,29,연기가_영화의,24.0
배우_도,5.0,연기_좋고,28,연기가_최고,23.0
배우_좋고,5.0,연기_배우분들,28,연기가_일품,22.0
배우_중,5.0,연기_덕분에,27,연기가_주인공의,22.0
배우_설,5.0,연기_최고입니다,27,연기가_빛을,21.0
배우_최고,5.0,연기_에,26,연기가_배우님들,21.0
배우_박인환,5.0,연기_잘하는,26,연기가_인상,21.0
배우_좋았다,4.0,연기_잘한다,26,연기가_좋습니다,20.0
배우_입니다,4.0,연기_설현의,26,연기가_소름,19.0
배우_설경구가,4.0,연기_좋았고,25,연기가_줄리안무어의,18.0
배우_세,4.0,연기_서현진,24,연기가_단연,18.0
배우_안내상,4.0,연기_소름,23,연기가_다들,18.0
배우_설현의,4.0,연기_좋았다,22,연기가_최고였어요,17.0
배우_연출,4.0,연기_완전,22,연기가_주연배우들의,17.0
배우_있는,4.0,연기_력,21,연기가_인상적,16.0
배우_좋아하는,4.0,연기_무어,21,연기가_훌륭한,16.0
배우_김남길의,3.0,연기_훌륭한,21,연기가_특히,16.0
배우_모든,3.0,연기_설경구님의,21,연기가_굿,15.0
배우_윤정희,3.0,연기_잘하시네요,21,연기가_돋보이네요,15.0
배우_출연,3.0,연기_홉킨스,20,연기가_돋보임,15.0
배우_설경구와,3.0,연기_소름돋는,20,연기가_인상적입니다,14.0
배우_연기파,3.0,연기_미친,19,연기가_좋은,14.0
배우_남주혁이라는,3.0,연기_짱입니다,18,연기가_대단했다,14.0
배우_훌륭한,3.0,연기_력이,18,연기가_서현진의,14.0
배우_줄리안,3.0,연기_굿굿,17,연기가_압권이네요,14.0
배우_이순재,3.0,연기_와,17,연기가_다했다,14.0
배우_김가은,3.0,연기_좋았음,16,연기가_다한,13.0
배우_송강,3.0,연기_보는,16,연기가_연기자들의,13.0
배우_손예진,3.0,연기_최고에요,15,연기가_연출과,13.0
배우_아름다운,3.0,연기_굳,15,연기가_돋보였어요,12.0
배우_김남길이란,3.0,연기_배우님들,15,연기가_생각보다,12.0
배우_에,3.0,연기_명품,15,연기가_짱,12.0
배우_연기와,3.0,연기_하네요,15,연기가_좋았던,12.0
배우_주연,3.0,연기_배우님의,15,연기가_최고입니다,12.0
배우_분들의,3.0,연기_력에,14,연기가_대단하네요,12.0
배우_설경구씨의,3.0,연기_멋진,14,연기가_살린,12.0
배우_좋아요,3.0,연기_좋다,14,연기가_배우님들의,12.0
배우_보이는,3.0,연기_빛나는,13,연기가_홉킨스,11.0
배우_봤습니다,3.0,연기_설경구배우님,13,연기가_돋보이고,11.0
배우_연기만,3.0,연기_짱이네요,13,연기가_인상적이었어요,11.0
배우_대단한,3.0,연기_잘하세요,13,연기가_돋보였다,11.0
배우_젊은,3.0,연기_치매,13,연기가_인상깊었습니다,10.0
배우_마크,2.0,연기_많이,13,연기가_기억에,10.0
배우_맞나,2.0,연기_인생,12,연기가_돋보였습니다,10.0
배우_윤정희가,2.0,연기_실감나는,12,연기가_너무나,10.0
배우_된,2.0,연기_완벽한,12,연기가_인상적인,10.0
배우_하는,2.0,연기_설경구씨의,12,연기가_아니라,10.0
배우_들은,2.0,연기_눈빛,12,연기가_최고였습니다,10.0
배우_나문희,2.0,연기_설경구는,12,연기가_눈빛,10.0
배우_본,2.0,연기_하는,12,연기가_안소니의,10.0
배우_활동하는,2.0,연기_김남길씨,11,연기가_아닌,10.0
배우_뛰어난,2.0,연기_표정,11,연기가_대단해요,9.0
배우_작가,2.0,연기_하나는,11,연기가_안소니홉킨스의,9.0
배우_들을,2.0,연기_있는,11,연기가_장난,9.0
배우_박근형,2.0,연기_이렇게,11,연기가_좋고,9.0
배우_허진,2.0,연기_최고네요,11,연기가_모든,9.0
배우_올리비아,2.0,연기_쩐다,11,연기가_서현진,9.0
배우_나는,2.0,연기_신들린,11,연기가_대단했어요,9.0
배우_스타,2.0,연기_대박입니다,11,연기가_뛰어난,9.0
마지막_장면이,63.0,연기가_배우들의,560,설경구의_연기가,375.0
마지막_장면은,52.0,연기가_설경구의,375,설경구의_연기는,298.0
마지막_장면,39.0,연기가_설경구,322,설경구의_연기,147.0
마지막_장면에서,31.0,연기가_좋았어요,288,설경구의_연기력이,102.0
마지막_반전이,29.0,연기가_배우들,281,설경구의_연기력은,79.0
마지막_반전,27.0,연기가_좋았습니다,160,설경구의_연기력,66.0
마지막_결말이,27.0,연기가_배우의,157,설경구의_연기에,59.0
마지막_장면의,17.0,연기가_좋았다,101,설경구의_연기력에,44.0
마지막_대사가,15.0,연기가_진짜,89,설경구의_역시,42.0
마지막_에,14.0,연기가_설경구씨,80,설경구의_미친,42.0
마지막_장면을,14.0,연기가_김남길의,80,설경구의_연기를,38.0
마지막_대사,14.0,연기가_좋았고,69,설경구의_연기만,38.0
마지막_있는,13.0,연기가_아주,69,설경구의_연기와,37.0
마지막_반전에,13.0,연기가_무어의,67,설경구의_배우,30.0
마지막_영혼의,12.0,연기가_돋보이는,67,설경구의_연기도,18.0
마지막_숨을,11.0,연기가_좋아요,64,설경구의_김남길과,17.0
마지막_순간까지,10.0,연기가_김남길,55,설경구의_연기로,16.0
마지막_으로,10.0,연기가_배우,54,설경구의_연기력과,15.0
마지막_대사는,10.0,연기가_다,53,설경구의_특히,15.0
마지막_맨,10.0,연기가_배우분들,49,설경구의_미친연기력,15.0
마지막_영화의,10.0,연기가_설경구님,47,설경구의_소름돋는,15.0
마지막_근데,10.0,연기가_좋네요,47,설경구의_연기력을,14.0
마지막_반전은,10.0,연기가_좋아서,41,설경구의_신들린,14.0
마지막_엔딩,10.0,연기가_영화를,40,설경구의_김남길,13.0
마지막_특히,9.0,연기가_홉킨스의,38,설경구의_빛나는,12.0
마지막_장면에,9.0,연기가_설현의,38,설경구의_열연이,11.0
마지막_엔딩이,9.0,연기가_설경구님의,37,설경구의_훌륭한,10.0
마지막_안소니의,9.0,연기가_좋다,36,설경구의_연기력만,10.0
마지막_그녀의,8.0,연기가_배우님의,35,설경구의_알츠하이머,10.0
마지막_결말,8.0,연기가_역시,34,설경구의_눈빛,10.0
마지막_앨리스의,8.0,연기가_설경구씨의,34,설경구의_멋진,9.0
마지막_진짜,8.0,연기가_배우분들의,28,설경구의_오랜만에,9.0
마지막_부분이,8.0,연기가_돋보였던,28,설경구의_연기의,8.0
마지막_인생의,7.0,연기가_설현,27,설경구의_압도적인,8.0
마지막_부분은,7.0,연기가_배우님,27,설경구의_연기만으로도,8.0
마지막_장면과,7.0,연기가_좋았음,27,설경구의_보는,8.0
마지막_엔딩은,7.0,연기가_돋보인,25,설경구의_눈빛과,7.0
마지막_부분,6.0,연기가_넘,25,설경구의_연기력으로,7.0
마지막_드라마,6.0,연기가_매우,25,설경구의_연기력이란,7.0
마지막_장면까지,6.0,연기가_대박,24,설경구의_연기만이,7.0
마지막_10분이,6.0,연기가_압권,24,설경구의_명연기,7.0
마지막_삶의,6.0,연기가_영화의,24,설경구의_뛰어난,7.0
마지막_은,6.0,연기가_최고,23,설경구의_건,7.0
마지막_편의점,6.0,연기가_일품,22,설경구의_무엇보다,7.0
마지막_씬,6.0,연기가_주인공의,22,설경구의_봤다,6.0
마지막_반전을,6.0,연기가_빛을,21,설경구의_연기뿐,6.0
마지막_부분의,6.0,연기가_배우님들,21,설경구의_설경구에,6.0
마지막_나의,6.0,연기가_인상,21,설경구의_기억이,6.0
마지막_회,6.0,연기가_좋습니다,20,설경구의_디테일한,6.0
마지막_10분을,5.0,연기가_소름,19,설경구의_미친연기,6.0
마지막_결말을,5.0,연기가_줄리안무어의,18,설경구의_소름끼치는,6.0
마지막_10분,5.0,연기가_단연,18,설경구의_얼굴,6.0
마지막_장면으로,5.0,연기가_다들,18,설경구의_명품,6.0
마지막_이,5.0,연기가_최고였어요,17,설경구의_하드캐리,5.0
마지막_로맨스,5.0,연기가_주연배우들의,17,설경구의_반전,5.0
마지막_반전까지,5.0,연기가_인상적,16,설경구의_아쉽지만,5.0
마지막_나레이션이,5.0,연기가_훌륭한,16,설경구의_또다른,5.0
마지막_사랑,5.0,연기가_특히,16,설경구의_스토리와,5.0
마지막_날,5.0,연기가_굿,15,설경구의_본,5.0
마지막_엔딩에서,5.0,연기가_돋보이네요,15,설경구의_만드는,5.0
마지막_좋았다,4.0,연기가_돋보임,15,설경구의_스토리,5.0
마지막_봤어요,4.0,연기가_인상적입니다,14,설경구의_연기법,5.0
마지막_한다,4.0,연기가_좋은,14,설경구의_완벽한,5.0
마지막_있었지만,4.0,연기가_대단했다,14,설경구의_기억법,5.0
마지막_시는,4.0,연기가_서현진의,14,설경구의_명품연기,5.0
마지막_재밌었어요,4.0,연기가_압권이네요,14,설경구의_명불허전,5.0
마지막_사랑을,4.0,연기가_다했다,14,설경구의_놀라운,5.0
마지막_김혜자,4.0,연기가_다한,13,설경구의_남는건,5.0
마지막_사랑의,4.0,연기가_연기자들의,13,설경구의_기억을,5.0
마지막_선생님의,4.0,연기가_연출과,13,설경구의_새로운,5.0
마지막_사랑이,4.0,연기가_돋보였어요,12,설경구의_눈빛이,4.0
마지막_순간까지도,4.0,연기가_생각보다,12,설경구의_있는,4.0
마지막_좋았는데,4.0,연기가_짱,12,설경구의_난,4.0
마지막_스토리가,4.0,연기가_좋았던,12,설경구의_연기변신은,4.0
마지막_연기와,4.0,연기가_최고입니다,12,설경구의_눈,4.0
마지막_있었다,4.0,연기가_대단하네요,12,설경구의_마지막,4.0
마지막_설경구의,4.0,연기가_살린,12,설경구의_섬세한,4.0
마지막_잎새를,4.0,연기가_배우님들의,12,설경구의_것은,4.0
마지막_이해가,4.0,연기가_홉킨스,11,설경구의_설정과,4.0
마지막_결말은,4.0,연기가_돋보이고,11,설경구의_실감나는,4.0
마지막_좋았으나,4.0,연기가_인상적이었어요,11,설경구의_느낌,4.0
마지막_반전도,4.0,연기가_돋보였다,11,설경구의_기억,4.0
마지막_봤습니다,4.0,연기가_인상깊었습니다,10,설경구의_소름,4.0
마지막_순간,4.0,연기가_기억에,10,설경구의_연기밖에,4.0
마지막_그들의,4.0,연기가_돋보였습니다,10,설경구의_인생연기,4.0
마지막_남은,4.0,연기가_너무나,10,설경구의_했지만,4.0
마지막_그의,4.0,연기가_인상적인,10,설경구의_부활,4.0
마지막_장면에서는,4.0,연기가_아니라,10,설경구의_좋았다,3.0
마지막_지문,4.0,연기가_최고였습니다,10,설경구의_속,3.0
마지막_장면만,4.0,연기가_눈빛,10,설경구의_명연기가,3.0
마지막_부분에,4.0,연기가_안소니의,10,설경구의_표정,3.0
마지막_기억을,4.0,연기가_아닌,10,설경구의_좋은,3.0
마지막_노년의,4.0,연기가_대단해요,9,설경구의_않았다,3.0
마지막_반전과,3.0,연기가_안소니홉킨스의,9,설경구의_연기력도,3.0
마지막_뭔가,3.0,연기가_장난,9,설경구의_독보적인,3.0
마지막_혜자의,3.0,연기가_좋고,9,설경구의_스릴러,3.0
마지막_연기는,3.0,연기가_모든,9,설경구의_소재와,3.0
마지막_격투신은,3.0,연기가_서현진,9,설경구의_눈떨림,3.0
마지막_김남길,3.0,연기가_대단했어요,9,설경구의_치매연기,3.0
마지막_아내의,3.0,연기가_뛰어난,9,설경구의_강렬한,3.0
연기력_설경구,126.0,연기는_설경구,328,연기_설경구,710.0
연기력_설경구의,72.0,연기는_설경구의,298,연기_진짜,198.0
연기력_배우들의,45.0,연기는_배우들의,193,연기_김남길,181.0
연기력_최고,44.0,연기는_역시,115,연기_설경구의,174.0
연기력_미친,43.0,연기는_배우들,107,연기_배우들,173.0
연기력_짱,40.0,연기는_진짜,89,연기_배우들의,133.0
연기력_배우들,29.0,연기는_좋았으나,72,연기_좋았어요,117.0
연기력_스토리,27.0,연기는_최고,72,연기_최고,109.0
연기력_진짜,26.0,연기는_좋았지만,70,연기_짱,108.0
연기력_김남길,24.0,연기는_김남길의,57,연기_가,107.0
연기력_굿,21.0,연기는_좋았다,50,연기_설경구씨,97.0
연기력_대박,21.0,연기는_좋았어요,49,연기_설현,95.0
연기력_역시,20.0,연기는_홉킨스의,47,연기_대박,89.0
연기력_설경구님,18.0,연기는_배우의,46,연기_설경구님,82.0
연기력_배우의,18.0,연기는_좋은데,45,연기_굿,78.0
연기력_갑,17.0,연기는_설경구씨,44,연기_연출,71.0
연기력_설경구씨,17.0,연기는_김남길,41,연기_는,71.0
연기력_짱입니다,13.0,연기는_좋았는데,39,연기_좋았습니다,70.0
연기력_배우,13.0,연기는_설경구님,38,연기_도,70.0
연기력_설현의,12.0,연기는_굿,36,연기_배우,66.0
연기력_좋았습니다,12.0,연기는_좋았습니다,35,연기_역시,64.0
연기력_덕분에,12.0,연기는_무어의,34,연기_배우님,62.0
연기력_뛰어난,11.0,연기는_설현의,34,연기_를,60.0
연기력_좋았어요,11.0,연기는_설경구님의,33,연기_김남길의,59.0
연기력_좋고,10.0,연기는_말할것도,31,연기_설현도,51.0
연기력_최고입니다,10.0,연기는_말할,31,연기_잘하네요,51.0
연기력_김남길의,9.0,연기는_설경구씨의,29,연기_넘,49.0
연기력_소름돋는,9.0,연기는_배우,25,연기_배우의,48.0
연기력_좋아요,9.0,연기는_최고네요,22,연기_스토리,48.0
연기력_은,8.0,연기는_좋으나,22,연기_다들,48.0
연기력_연출,8.0,연기는_좋지만,20,연기_좋아요,47.0
연기력_대단합니다,8.0,연기는_인정,20,연기_좋은,43.0
연기력_이,7.0,연기는_다들,20,연기_잘하고,42.0
연기력_좋은,7.0,연기는_최고다,18,연기_다,40.0
연기력_몰입도,7.0,연기는_배우분들,18,연기_좋네요,40.0
연기력_하나만으로도,6.0,연기는_언제나,17,연기_무어의,39.0
연기력_다,6.0,연기는_대박,17,연기_잘함,37.0
연기력_하나는,6.0,연기는_짱,17,연기_최고의,37.0
연기력_미쳤다,6.0,연기는_잘하는데,17,연기_홉킨스의,35.0
연기력_대단하네요,6.0,연기는_말이,17,연기_잘해요,33.0
연기력_짱이네요,6.0,연기는_배우님의,16,연기_잘해서,30.0
연기력_인정,6.0,연기는_믿고,15,연기_생각보다,29.0
연기력_말고는,5.0,연기는_명불허전,15,연기_좋고,28.0
연기력_좋았고,5.0,연기는_뭐,15,연기_배우분들,28.0
연기력_에,5.0,연기는_미쳤다,14,연기_덕분에,27.0
연기력_소름,5.0,연기는_좋다,13,연기_최고입니다,27.0
연기력_좋네요,5.0,연기는_설현,12,연기_에,26.0
연기력_넘,5.0,연기는_줄리안무어의,12,연기_잘하는,26.0
연기력_다들,5.0,연기는_다,12,연기_잘한다,26.0
연기력_홉킨스의,5.0,연기는_최고였다,12,연기_설현의,26.0
연기력_긴장감,4.0,연기는_홉킨스,11,연기_좋았고,25.0
연기력_설현도,4.0,연기는_연기자들의,11,연기_서현진,24.0
연기력_엄청난,4.0,연기는_최고였습니다,11,연기_소름,23.0
연기력_완전,4.0,연기는_일품,11,연기_좋았다,22.0
연기력_역쉬,4.0,연기는_대단했다,10,연기_완전,22.0
연기력_좋습니다,4.0,연기는_단연,10,연기_력,21.0
연기력_최고네요,4.0,연기는_설경구가,9,연기_무어,21.0
연기력_무어의,4.0,연기는_역시나,9,연기_훌륭한,21.0
연기력_설경구님의,4.0,연기는_배우님,9,연기_설경구님의,21.0
연기력_멋진,4.0,연기는_좋았음,9,연기_잘하시네요,21.0
연기력_재밌어요,4.0,연기는_좋아요,9,연기_홉킨스,20.0
연기력_배우분들,4.0,연기는_최고입니다,9,연기_소름돋는,20.0
연기력_굿굿,3.0,연기는_좋네요,9,연기_미친,19.0
연기력_압도적인,3.0,연기는_두말하면,8,연기_짱입니다,18.0
연기력_탄탄,3.0,연기는_최고였어요,8,연기_력이,18.0
연기력_대단해요,3.0,연기는_서현진의,8,연기_굿굿,17.0
연기력_김남길씨,3.0,연기는_굳,8,연기_와,17.0
연기력_만드는,3.0,연기는_항상,8,연기_좋았음,16.0
연기력_최고였어요,3.0,연기는_두말할,7,연기_보는,16.0
연기력_설배우,3.0,연기는_안소니홉킨스의,7,연기_최고에요,15.0
연기력_줄리안무어의,3.0,연기는_좋았고,7,연기_굳,15.0
연기력_하나만,3.0,연기는_언제봐도,7,연기_배우님들,15.0
연기력_내용,3.0,연기는_서현진,7,연기_명품,15.0
연기력_탄탄한,3.0,연기는_나쁘지,7,연기_하네요,15.0
연기력_최강,3.0,연기는_좋음,7,연기_배우님의,15.0
연기력_아주,3.0,연기는_설경구배우의,7,연기_력에,14.0
연기력_빼고는,3.0,연기는_정말이지,7,연기_멋진,14.0
연기력_서현진의,3.0,연기는_소름이,7,연기_좋다,14.0
연기력_소름끼치는,3.0,연기는_생각보다,6,연기_빛나는,13.0
연기력_설경구씨의,3.0,연기는_무어,6,연기_설경구배우님,13.0
연기력_쵝오,3.0,연기는_기대,6,연기_짱이네요,13.0
연기력_아쉬운,3.0,연기는_굿굿,6,연기_잘하세요,13.0
연기력_몰입감,3.0,연기는_선생님의,6,연기_치매,13.0
연기력_쩌네요,3.0,연기는_신의,6,연기_많이,13.0
연기력_최고의,3.0,연기는_연기자들,6,연기_인생,12.0
연기력_놀라운,3.0,연기는_훌륭합니다,6,연기_실감나는,12.0
연기력_신들린,3.0,연기는_대단했고,6,연기_완벽한,12.0
연기력_만큼은,3.0,연기는_대단합니다,6,연기_설경구씨의,12.0
연기력_의외의,3.0,연기는_잘하네요,6,연기_눈빛,12.0
연기력_설현,3.0,연기는_최고에요,6,연기_설경구는,12.0
연기력_갓경구,3.0,연기는_영화의,6,연기_하는,12.0
연기력_장황한,2.0,연기는_대단,6,연기_김남길씨,11.0
연기력_내용도,2.0,연기는_매우,6,연기_표정,11.0
연기력_경구형,2.0,연기는_잘함,5,연기_하나는,11.0
연기력_봤어요,2.0,연기는_음,5,연기_있는,11.0
연기력_덕에,2.0,연기는_늘,5,연기_이렇게,11.0
연기력_줄거리,2.0,연기는_영화설경구의,5,연기_최고네요,11.0
연기력_정도의,2.0,연기는_설경구배우님,5,연기_쩐다,11.0
연기력_좋았구,2.0,연기는_대단하다,5,연기_신들린,11.0
연기력_생각보다,2.0,연기는_짱입니다,5,연기_대박입니다,11.0
사람_이,20.0,진짜_연기,199,배우들의_연기가,561.0
사람_은,20.0,진짜_연기는,89,배우들의_연기는,193.0
사람_사랑하는,14.0,진짜_연기가,89,배우들의_연기,120.0
